computed: ['13.45', '86.55', '0.00']
cancelled: ['91.53', '6.17', '2.30']
syndrome: ['5.84', '36.32', '57.84']
won: ['96.64', '0.00', '3.36']
eyed: ['2.54', '0.99', '96.46']
jobs: ['73.81', '0.89', '25.30']
given: ['77.82', '0.52', '21.66']
converted: ['99.92', '0.07', '0.01']
wellness: ['52.70', '46.98', '0.32']
bleeding: ['0.02', '40.42', '59.56']
records: ['32.72', '66.52', '0.75']
supports: ['0.23', '0.94', '98.83']
interactions: ['0.00', '95.66', '4.33']
rocks: ['0.02', '3.98', '96.00']
coastal: ['87.44', '0.08', '12.48']
depression: ['0.33', '87.85', '11.82']
frozen: ['99.74', '0.23', '0.03']
pupils: ['14.02', '0.20', '85.78']
drinks: ['20.03', '49.69', '30.28']
reliance: ['31.63', '68.22', '0.16']
thickness: ['0.50', '35.59', '63.91']
appreciate: ['3.10', '96.75', '0.15']
good: ['57.20', '42.80', '0.00']
upset: ['0.00', '99.40', '0.60']
attempting: ['0.01', '73.38', '26.61']
programme: ['81.76', '10.55', '7.68']
marriage: ['0.02', '99.93', '0.04']
rice: ['0.06', '99.89', '0.05']
renew: ['7.79', '0.48', '91.72']
walnut: ['0.00', '0.39', '99.61']
extend: ['81.18', '18.20', '0.62']
basic: ['97.74', '2.26', '0.00']
genius: ['51.77', '47.37', '0.86']
reduces: ['99.36', '0.61', '0.03']
casual: ['54.09', '0.35', '45.55']
chocolate: ['0.62', '96.81', '2.57']
soldiers: ['2.41', '38.82', '58.77']
motorcycles: ['98.22', '1.70', '0.08']
awareness: ['8.78', '63.52', '27.70']
cuisine: ['94.01', '0.10', '5.89']
represents: ['81.78', '0.23', '17.99']
scholar: ['65.00', '0.06', '34.94']
advisors: ['99.61', '0.20', '0.19']
such: ['0.02', '90.88', '9.10']
struct: ['12.31', '87.58', '0.11']
flood: ['0.06', '4.48', '95.46']
inquire: ['54.39', '1.33', '44.28']
capable: ['9.01', '51.89', '39.10']
affair: ['0.04', '99.83', '0.13']
previews: ['5.95', '92.56', '1.49']
staff: ['87.14', '0.01', '12.85']
dispatched: ['97.63', '0.89', '1.48']
bufing: ['19.07', '33.67', '47.25']
distinct: ['100.00', '0.00', '0.00']
xxx: ['7.05', '91.53', '1.41']
tions: ['0.10', '86.51', '13.39']
assembled: ['91.39', '8.60', '0.01']
family: ['74.19', '6.06', '19.75']
becomes: ['78.27', '0.00', '21.73']
tile: ['90.77', '6.27', '2.96']
instruments: ['25.50', '71.83', '2.66']
query: ['7.13', '70.19', '22.68']
fares: ['0.00', '99.95', '0.05']
man: ['0.00', '0.15', '99.85']
devel: ['76.74', '17.18', '6.08']
prizes: ['86.94', '0.13', '12.93']
improved: ['99.40', '0.60', '0.00']
determined: ['44.86', '55.14', '0.00']
increased: ['99.47', '0.53', '0.00']
fitting: ['32.99', '64.91', '2.09']
country: ['0.09', '1.73', '98.18']
crossing: ['7.39', '55.48', '37.13']
angel: ['8.75', '87.17', '4.08']
certification: ['7.05', '87.45', '5.50']
rounds: ['0.01', '0.00', '99.99']
hq: ['7.05', '91.53', '1.41']
genes: ['0.09', '99.83', '0.09']
patents: ['96.71', '2.97', '0.32']
attacked: ['0.25', '0.10', '99.65']
substantial: ['46.76', '53.23', '0.00']
bukkake: ['99.08', '0.53', '0.39']
educational: ['0.46', '75.87', '23.67']
fabulous: ['99.96', '0.01', '0.03']
signs: ['0.02', '0.20', '99.78']
dress: ['0.12', '41.09', '58.79']
chance: ['0.01', '99.75', '0.24']
delegation: ['3.69', '31.76', '64.56']
gig: ['0.00', '71.46', '28.54']
write: ['85.06', '14.72', '0.22']
membrane: ['54.80', '0.57', '44.62']
sets: ['0.00', '0.00', '100.00']
sunset: ['0.07', '5.04', '94.89']
machine: ['12.39', '87.41', '0.20']
exposure: ['17.73', '68.64', '13.63']
loves: ['0.15', '9.06', '90.79']
ls: ['0.00', '99.47', '0.53']
reading: ['99.66', '0.33', '0.02']
violence: ['0.31', '97.97', '1.72']
fioricet: ['19.07', '33.67', '47.25']
merger: ['45.95', '4.73', '49.32']
arthritis: ['5.96', '77.06', '16.98']
stamp: ['0.02', '99.94', '0.03']
builds: ['83.36', '3.17', '13.47']
permits: ['3.73', '59.19', '37.08']
terms: ['4.07', '94.63', '1.30']
compatible: ['49.85', '35.33', '14.82']
lesson: ['97.02', '2.00', '0.98']
honors: ['1.87', '4.58', '93.55']
smaller: ['96.69', '3.29', '0.02']
patches: ['0.01', '3.97', '96.02']
invitations: ['0.03', '5.22', '94.75']
partner: ['11.27', '0.10', '88.63']
agricultural: ['2.11', '71.46', '26.43']
shelf: ['52.68', '0.05', '47.27']
activities: ['1.11', '70.73', '28.17']
consist: ['99.98', '0.02', '0.00']
sword: ['0.82', '38.10', '61.08']
excel: ['97.83', '1.78', '0.39']
sewing: ['60.44', '7.75', '31.82']
obligations: ['6.39', '44.11', '49.50']
anticipated: ['83.15', '7.95', '8.89']
draws: ['52.26', '0.08', '47.66']
issue: ['0.00', '99.82', '0.18']
games: ['0.04', '0.01', '99.95']
conditions: ['0.00', '87.84', '12.16']
amounts: ['53.34', '39.41', '7.25']
shooting: ['0.01', '95.58', '4.42']
watching: ['26.53', '16.95', '56.53']
infection: ['0.00', '34.81', '65.19']
summaries: ['99.69', '0.31', '0.00']
perspectives: ['4.58', '87.66', '7.76']
da: ['98.26', '1.71', '0.03']
saves: ['7.44', '0.81', '91.75']
sisters: ['22.93', '71.84', '5.23']
exam: ['4.93', '26.00', '69.07']
socket: ['1.02', '0.25', '98.73']
controversy: ['0.09', '98.65', '1.26']
passion: ['16.17', '82.50', '1.33']
sustainable: ['99.77', '0.00', '0.22']
generated: ['99.88', '0.12', '0.00']
microphone: ['1.35', '0.23', '98.42']
standings: ['0.80', '76.65', '22.55']
theories: ['0.05', '99.95', '0.00']
travesti: ['81.29', '3.06', '15.65']
overcome: ['99.95', '0.03', '0.01']
cope: ['98.73', '0.99', '0.28']
located: ['58.38', '35.80', '5.81']
biography: ['17.18', '82.23', '0.59']
land: ['0.04', '99.91', '0.06']
russian: ['0.29', '0.02', '99.70']
calm: ['98.59', '0.68', '0.73']
dead: ['5.39', '94.59', '0.02']
tahoe: ['2.33', '2.28', '95.39']
dat: ['0.00', '100.00', '0.00']
suggested: ['99.03', '0.93', '0.04']
movement: ['1.30', '51.61', '47.09']
surfing: ['98.87', '0.87', '0.26']
bangbus: ['19.07', '33.67', '47.25']
continue: ['99.92', '0.00', '0.08']
nerve: ['92.57', '0.01', '7.41']
bidder: ['0.00', '0.01', '99.99']
committees: ['91.05', '6.60', '2.35']
reward: ['99.67', '0.29', '0.04']
university: ['0.34', '93.42', '6.24']
collectibles: ['100.00', '0.00', '0.00']
loans: ['99.91', '0.00', '0.09']
flooring: ['89.14', '6.38', '4.48']
tourist: ['0.59', '0.00', '99.41']
real: ['0.09', '99.91', '0.00']
unlikely: ['55.76', '41.37', '2.87']
rule: ['0.02', '99.98', '0.00']
intention: ['0.06', '99.85', '0.09']
stockings: ['27.95', '21.73', '50.32']
mainland: ['97.23', '1.34', '1.43']
proven: ['100.00', '0.00', '0.00']
uniform: ['0.17', '99.62', '0.21']
learn: ['73.20', '26.80', '0.00']
helped: ['0.00', '0.12', '99.88']
sorts: ['24.48', '74.00', '1.51']
bubble: ['17.46', '24.55', '57.99']
upcoming: ['99.61', '0.28', '0.11']
pickup: ['77.04', '10.47', '12.49']
pick: ['74.52', '0.00', '25.48']
economy: ['0.06', '1.10', '98.84']
victims: ['42.31', '0.06', '57.63']
refurbished: ['99.82', '0.11', '0.07']
additions: ['91.05', '8.28', '0.67']
coffee: ['0.05', '76.96', '22.99']
costs: ['53.59', '46.38', '0.03']
vertical: ['9.96', '89.82', '0.21']
infectious: ['49.23', '41.49', '9.28']
bed: ['0.00', '0.81', '99.19']
equation: ['0.01', '99.84', '0.15']
filed: ['0.01', '99.99', '0.00']
stakeholders: ['4.17', '0.49', '95.34']
weapons: ['2.17', '95.80', '2.04']
plastics: ['89.38', '10.36', '0.26']
appraisal: ['0.10', '99.89', '0.01']
methods: ['0.00', '99.99', '0.01']
complement: ['73.17', '25.56', '1.28']
value: ['2.84', '96.99', '0.17']
connectors: ['88.97', '0.22', '10.81']
stuck: ['81.74', '2.33', '15.93']
worst: ['100.00', '0.00', '0.00']
equipped: ['99.40', '0.12', '0.48']
penn: ['19.86', '75.76', '4.38']
armed: ['5.88', '1.15', '92.97']
verde: ['97.24', '0.15', '2.61']
mats: ['99.02', '0.16', '0.82']
character: ['7.30', '50.13', '42.57']
management: ['13.80', '47.64', '38.56']
banana: ['13.98', '77.69', '8.33']
jeep: ['0.04', '15.24', '84.72']
phase: ['0.74', '0.33', '98.93']
song: ['99.29', '0.71', '0.00']
purposes: ['0.12', '99.78', '0.10']
bestiality: ['0.20', '98.61', '1.20']
shortcuts: ['79.91', '2.67', '17.42']
syndication: ['1.56', '96.98', '1.46']
inspections: ['0.57', '98.96', '0.47']
constitutes: ['71.08', '24.73', '4.20']
succeed: ['94.99', '4.67', '0.34']
patient: ['0.00', '5.11', '94.88']
exists: ['0.39', '99.46', '0.15']
precious: ['18.69', '81.05', '0.26']
begun: ['99.35', '0.00', '0.65']
ai: ['0.00', '0.18', '99.82']
participant: ['0.76', '2.12', '97.12']
phys: ['0.00', '99.99', '0.01']
acne: ['0.54', '99.06', '0.40']
breakdown: ['29.76', '67.91', '2.33']
preferences: ['0.73', '98.89', '0.38']
army: ['7.23', '42.44', '50.33']
menus: ['64.11', '0.00', '35.89']
addiction: ['1.20', '96.66', '2.14']
rug: ['99.99', '0.00', '0.01']
interest: ['0.27', '99.72', '0.01']
newsletters: ['99.86', '0.06', '0.08']
name: ['18.39', '72.62', '9.00']
happy: ['12.77', '87.23', '0.00']
realtor: ['97.80', '0.07', '2.13']
bug: ['0.00', '100.00', '0.00']
responsibilities: ['47.37', '40.87', '11.76']
tag: ['4.67', '48.29', '47.05']
voters: ['4.20', '1.16', '94.65']
childhood: ['3.85', '71.25', '24.90']
sprint: ['14.45', '80.75', '4.80']
become: ['100.00', '0.00', '0.00']
mechanism: ['3.52', '92.24', '4.23']
citations: ['0.95', '93.68', '5.38']
replied: ['99.38', '0.45', '0.18']
enjoyed: ['16.08', '0.04', '83.88']
searching: ['98.50', '1.48', '0.02']
lonely: ['1.57', '81.41', '17.02']
pole: ['67.06', '22.48', '10.47']
choices: ['96.30', '0.59', '3.11']
omissions: ['47.43', '51.58', '1.00']
orientation: ['0.01', '98.12', '1.88']
defined: ['99.89', '0.10', '0.01']
imported: ['99.87', '0.13', '0.00']
reynolds: ['3.33', '89.73', '6.94']
substance: ['0.13', '99.87', '0.00']
afford: ['99.84', '0.02', '0.14']
harm: ['0.01', '99.99', '0.00']
yen: ['47.21', '51.51', '1.29']
sexo: ['93.66', '5.61', '0.73']
carried: ['99.70', '0.29', '0.01']
reporter: ['0.02', '99.37', '0.62']
enables: ['0.01', '0.48', '99.51']
estimation: ['0.00', '100.00', '0.00']
cite: ['93.69', '0.00', '6.31']
governance: ['16.15', '80.74', '3.10']
remember: ['1.43', '18.27', '80.30']
married: ['0.22', '99.59', '0.19']
instrumental: ['89.37', '9.40', '1.23']
prospect: ['0.13', '4.24', '95.63']
coated: ['98.13', '0.13', '1.74']
yards: ['0.00', '0.00', '100.00']
chem: ['17.82', '53.28', '28.89']
use: ['19.11', '69.06', '11.83']
purchase: ['99.83', '0.01', '0.16']
selections: ['68.85', '0.45', '30.70']
advertiser: ['53.57', '39.05', '7.38']
verzeichnis: ['19.07', '33.67', '47.25']
graph: ['0.09', '94.51', '5.40']
thread: ['56.65', '42.24', '1.11']
result: ['91.95', '5.14', '2.91']
classics: ['99.78', '0.01', '0.21']
webmasters: ['99.67', '0.22', '0.11']
ignored: ['90.96', '0.71', '8.32']
random: ['0.08', '99.91', '0.01']
wireless: ['83.43', '1.12', '15.45']
lawyers: ['97.57', '0.26', '2.17']
cleaner: ['99.63', '0.18', '0.19']
stronger: ['96.70', '2.74', '0.55']
fuel: ['100.00', '0.00', '0.00']
paste: ['8.96', '82.18', '8.86']
representations: ['0.86', '28.74', '70.39']
junction: ['0.12', '80.03', '19.84']
miracle: ['4.07', '81.87', '14.07']
swingers: ['52.36', '13.61', '34.03']
tourism: ['0.27', '0.00', '99.73']
ugly: ['1.36', '98.60', '0.04']
defend: ['99.74', '0.25', '0.01']
vegetation: ['0.00', '99.87', '0.13']
powered: ['100.00', '0.00', '0.00']
interaction: ['0.01', '95.73', '4.27']
pierce: ['57.76', '15.83', '26.41']
beverages: ['78.88', '20.87', '0.25']
seeing: ['22.88', '41.58', '35.54']
collecting: ['100.00', '0.00', '0.00']
teenage: ['5.35', '56.89', '37.76']
sh: ['0.33', '99.67', '0.00']
goal: ['9.78', '51.72', '38.50']
less: ['99.99', '0.01', '0.00']
seats: ['0.00', '0.00', '100.00']
appreciation: ['0.02', '99.81', '0.17']
msgstr: ['19.07', '33.67', '47.25']
minute: ['28.45', '0.02', '71.54']
tried: ['0.01', '65.25', '34.74']
belongs: ['99.82', '0.09', '0.08']
lost: ['95.06', '4.08', '0.86']
advances: ['0.53', '3.93', '95.54']
maker: ['98.95', '0.02', '1.03']
religion: ['0.00', '99.99', '0.01']
chase: ['53.92', '18.43', '27.65']
guns: ['0.03', '0.03', '99.94']
musical: ['92.13', '6.25', '1.62']
disclose: ['0.00', '99.99', '0.01']
suites: ['88.39', '0.00', '11.61']
talking: ['4.87', '95.10', '0.03']
dogs: ['0.00', '100.00', '0.00']
backgrounds: ['0.53', '32.39', '67.08']
flow: ['0.15', '96.62', '3.23']
